"feature","class_Easy","class_Intermediate","class_Intermediate.Difficult"
"Intercept",0.0376322933366839,0.0275743454827129,0.0269538409464201
"elevation_gain",0.0531299155668472,0.0300068330717606,0.0248103183137879
"elevation_loss",0.0629616184746264,0.0354953194811053,0.0236336680895286
"average_grade",0.0643466933301739,0.0400935493995024,0.0308783692571633
"max_grade",0.0692112499507547,0.0430961800203674,0.0318293630325933
