"feature","class_Easy","class_Intermediate","class_Intermediate.Difficult"
"Intercept",-0.517412334504234,0.219656955180485,0.225640293202302
"elevation_gain",-0.0490573475221786,0.00766832506016543,-0.0161427215704537
"elevation_loss",-0.326633195495058,-0.28822089239701,-0.0617939864433576
"average_grade",-1.67499863122015,-0.737817127802557,-0.448988199538322
"max_grade",-0.891675515707548,-0.282050504757768,-0.0520306449222957
