"Class","Precision","Recall","F1","Support"
"Easy",0.505162988459202,0.724448315911731,0.595252296313969,3444
"Intermediate",0.33343989769821,0.297829811536265,0.314630467571644,3502
"Intermediate/Difficult",0.372991967871486,0.211560364464692,0.269985465116279,3512
"Difficult",0.490503080082136,0.546468401486989,0.516975517381307,3497
